original_artist_id,related_artist_id,related_artist_name
5M52tdBnJaKSvOpJGz8mfZ,36QJpDe2go2KgaRleHCDTp,Led Zeppelin
5M52tdBnJaKSvOpJGz8mfZ,1DFr97A9HnbV3SKTJFu62M,Motörhead
34c4iQ5tkaZKu6Sv28BTde,1DFr97A9HnbV3SKTJFu62M,Motörhead
34c4iQ5tkaZKu6Sv28BTde,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
34c4iQ5tkaZKu6Sv28BTde,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
34c4iQ5tkaZKu6Sv28BTde,4CYeVo5iZbtYGBN4Isc3n6,Dio
34c4iQ5tkaZKu6Sv28BTde,0CF71zaDOJWCynIkW9bSK8,White Zombie
14pVkFUHDL207LzLHtSA18,1IQ2e1buppatiN1bxUVkrk,Slayer
14pVkFUHDL207LzLHtSA18,1Yox196W7bzVNZI7RBaPnf,Megadeth
14pVkFUHDL207LzLHtSA18,3RNrq3jvMZxD9ZyoOZbQOD,Korn
14pVkFUHDL207LzLHtSA18,05fG473iIaoy82BF1aGhL8,Slipknot
14pVkFUHDL207LzLHtSA18,2ye2Wgw4gimLv2eAKyk1NB,Metallica
05fG473iIaoy82BF1aGhL8,3RNrq3jvMZxD9ZyoOZbQOD,Korn
05fG473iIaoy82BF1aGhL8,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
05fG473iIaoy82BF1aGhL8,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
05fG473iIaoy82BF1aGhL8,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
05fG473iIaoy82BF1aGhL8,14pVkFUHDL207LzLHtSA18,Pantera
6ZLTlhejhndI4Rh53vYhrY,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe
6ZLTlhejhndI4Rh53vYhrY,2ye2Wgw4gimLv2eAKyk1NB,Metallica
6ZLTlhejhndI4Rh53vYhrY,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
6ZLTlhejhndI4Rh53vYhrY,4CYeVo5iZbtYGBN4Isc3n6,Dio
6ZLTlhejhndI4Rh53vYhrY,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2tRsMl4eGxwoNabM08Dm4I,4CYeVo5iZbtYGBN4Isc3n6,Dio
2tRsMl4eGxwoNabM08Dm4I,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2tRsMl4eGxwoNabM08Dm4I,1DFr97A9HnbV3SKTJFu62M,Motörhead
2tRsMl4eGxwoNabM08Dm4I,1Yox196W7bzVNZI7RBaPnf,Megadeth
2tRsMl4eGxwoNabM08Dm4I,3JDIAtVrJdQ7GFOX26LYpv,Accept
2ye2Wgw4gimLv2eAKyk1NB,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2ye2Wgw4gimLv2eAKyk1NB,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
2ye2Wgw4gimLv2eAKyk1NB,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2ye2Wgw4gimLv2eAKyk1NB,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2ye2Wgw4gimLv2eAKyk1NB,14pVkFUHDL207LzLHtSA18,Pantera
0nmQIMXWTXfhgOBdNzhGOs,05fG473iIaoy82BF1aGhL8,Slipknot
0nmQIMXWTXfhgOBdNzhGOs,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine
0nmQIMXWTXfhgOBdNzhGOs,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
0nmQIMXWTXfhgOBdNzhGOs,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
0nmQIMXWTXfhgOBdNzhGOs,2xiIXseIJcq3nG7C8fHeBj,Three Days Grace
6mdiAmATAx73kdxrNrnlao,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
6mdiAmATAx73kdxrNrnlao,4CYeVo5iZbtYGBN4Isc3n6,Dio
6mdiAmATAx73kdxrNrnlao,1DFr97A9HnbV3SKTJFu62M,Motörhead
6mdiAmATAx73kdxrNrnlao,1Yox196W7bzVNZI7RBaPnf,Megadeth
6mdiAmATAx73kdxrNrnlao,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
6ZLTlhejhndI4Rh53vYhrY,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe
6ZLTlhejhndI4Rh53vYhrY,2ye2Wgw4gimLv2eAKyk1NB,Metallica
6ZLTlhejhndI4Rh53vYhrY,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
6ZLTlhejhndI4Rh53vYhrY,4CYeVo5iZbtYGBN4Isc3n6,Dio
6ZLTlhejhndI4Rh53vYhrY,6mdiAmATAx73kdxrNrnlao,Iron Maiden
1Yox196W7bzVNZI7RBaPnf,1IQ2e1buppatiN1bxUVkrk,Slayer
1Yox196W7bzVNZI7RBaPnf,14pVkFUHDL207LzLHtSA18,Pantera
1Yox196W7bzVNZI7RBaPnf,6mdiAmATAx73kdxrNrnlao,Iron Maiden
1Yox196W7bzVNZI7RBaPnf,28hJdGN1Awf7u3ifk2lVkg,Testament
1Yox196W7bzVNZI7RBaPnf,3JysSUOyfVs1UQ0UaESheP,Anthrax
6wWVKhxIU2cEi0K81v7HvP,65A714FqhSPjoFZeffQbTv,Lindemann
6wWVKhxIU2cEi0K81v7HvP,2ye2Wgw4gimLv2eAKyk1NB,Metallica
6wWVKhxIU2cEi0K81v7HvP,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
6wWVKhxIU2cEi0K81v7HvP,05fG473iIaoy82BF1aGhL8,Slipknot
6wWVKhxIU2cEi0K81v7HvP,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson
3RNrq3jvMZxD9ZyoOZbQOD,05fG473iIaoy82BF1aGhL8,Slipknot
3RNrq3jvMZxD9ZyoOZbQOD,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
3RNrq3jvMZxD9ZyoOZbQOD,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
3RNrq3jvMZxD9ZyoOZbQOD,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie
3RNrq3jvMZxD9ZyoOZbQOD,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
6JW8wliOEwaDZ231ZY7cf4,1IQ2e1buppatiN1bxUVkrk,Slayer
6JW8wliOEwaDZ231ZY7cf4,28hJdGN1Awf7u3ifk2lVkg,Testament
6JW8wliOEwaDZ231ZY7cf4,4f5V3PQ66nIrBCqugJtaGn,Death
6JW8wliOEwaDZ231ZY7cf4,76S65NHJHrNy4JTrXHP2BH,Exodus
6JW8wliOEwaDZ231ZY7cf4,3JysSUOyfVs1UQ0UaESheP,Anthrax
2tRsMl4eGxwoNabM08Dm4I,4CYeVo5iZbtYGBN4Isc3n6,Dio
2tRsMl4eGxwoNabM08Dm4I,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2tRsMl4eGxwoNabM08Dm4I,1DFr97A9HnbV3SKTJFu62M,Motörhead
2tRsMl4eGxwoNabM08Dm4I,1Yox196W7bzVNZI7RBaPnf,Megadeth
2tRsMl4eGxwoNabM08Dm4I,3JDIAtVrJdQ7GFOX26LYpv,Accept
4CYeVo5iZbtYGBN4Isc3n6,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
4CYeVo5iZbtYGBN4Isc3n6,6mdiAmATAx73kdxrNrnlao,Iron Maiden
4CYeVo5iZbtYGBN4Isc3n6,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
4CYeVo5iZbtYGBN4Isc3n6,1DFr97A9HnbV3SKTJFu62M,Motörhead
4CYeVo5iZbtYGBN4Isc3n6,4opTS86dN9uO313J9CE8xg,Skid Row
3HVdAiMNjYrQIKlOGxoGh5,3RNrq3jvMZxD9ZyoOZbQOD,Korn
3HVdAiMNjYrQIKlOGxoGh5,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool
3HVdAiMNjYrQIKlOGxoGh5,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000
