,artist_id,artist_name,track_name,track_popularity,track_uri,track_number
43,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Black Dog - Remaster,69,spotify:track:3qT4bUD1MaWpGrTwcvguhb,4
44,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Going to California - Remaster,68,spotify:track:70gbuMqwNBE2Y5rkQJE9By,5
45,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Kickstart My Heart,76,spotify:track:4Yqy0GpeDEXLibWJCZyQew,1
46,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,"Girls, Girls, Girls",68,spotify:track:3439OLNIeD3y68kVuoZUO5,2
47,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Dr. Feelgood,66,spotify:track:5dnwXK73BDZ0H2L06ZrKcE,3
48,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Home Sweet Home,66,spotify:track:1kvq7ksGQWSyRysYYNd6lu,4
49,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Shout at the Devil,64,spotify:track:4VFNyv0nVew5C878WDsPvE,5
50,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Paranoid - 2009 Remaster,77,spotify:track:3Jnxngdff0lVu2rza1GVx6,1
51,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Iron Man - 2009 Remaster,67,spotify:track:755bvJDSA3LNcNuFgBT9LK,2
52,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,War Pigs - 2009 Remaster,65,spotify:track:6TYQRlRci6AkVrN9a5C7ne,3
53,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,N.I.B. - 2009 Remaster,63,spotify:track:3XclwoQxz4p6Dl7VUf90KW,4
54,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,Heaven and Hell,62,spotify:track:5qxN63QA4Hk1zgdLCsZFE2,5
55,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Chop Suey!,83,spotify:track:2DlHlPMa4M17kufBvI2lEN,1
56,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Toxicity,82,spotify:track:0snQkGI5qnAmohLE7jTsTn,2
57,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Lonely Day,79,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,3
58,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Aerials,78,spotify:track:4e9eGQYsOiBcftrWXwsVco,4
59,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,B.Y.O.B.,75,spotify:track:0EYOdF5FCkgOJJla8DI2Md,5
60,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Breaking the Law,67,spotify:track:2RaA6kIcvomt77qlIgGhCT,1
61,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Painkiller,64,spotify:track:0L7zm6afBEtrNKo6C6Gj08,2
62,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,You've Got Another Thing Coming,62,spotify:track:4f3RDq9nYPBeR1yMSgnmBm,3
63,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Living After Midnight,60,spotify:track:0IXpUl1fn2QZcBavfuq0H4,4
64,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Electric Eye,57,spotify:track:3w9zHVKI28aUPZTxq8oDC6,5
65,4CYeVo5iZbtYGBN4Isc3n6,Dio,Rainbow In The Dark,62,spotify:track:5qFxuUIAwJlzO60vqOiL7y,1
66,4CYeVo5iZbtYGBN4Isc3n6,Dio,Holy Diver,62,spotify:track:54yLLvpezvPO1lA3GspiZj,2
67,4CYeVo5iZbtYGBN4Isc3n6,Dio,The Last In Line,50,spotify:track:5fIZDuxfuM4tANRHZ8Btju,3
68,4CYeVo5iZbtYGBN4Isc3n6,Dio,Don't Talk To Strangers,51,spotify:track:6ppPNxdwG8A5Ed8DlNLV6I,4
69,4CYeVo5iZbtYGBN4Isc3n6,Dio,Stand Up And Shout,50,spotify:track:2HwtiwV8OgIwNuj1Wq9e0B,5
70,1DFr97A9HnbV3SKTJFu62M,Motörhead,Ace of Spades,70,spotify:track:3CIOopLwvyMvXk97ZEksKO,1
71,1DFr97A9HnbV3SKTJFu62M,Motörhead,The Game (Triple H),53,spotify:track:2zSpaFB7e0Yo1QKsDQ22Ol,2
72,1DFr97A9HnbV3SKTJFu62M,Motörhead,Hellraiser - 30th Anniversary Edition,54,spotify:track:0BW3ImhGyAdbM62rHPyNNB,3
73,1DFr97A9HnbV3SKTJFu62M,Motörhead,Overkill,56,spotify:track:4XvvR8F6qOcnzgChO1uTIO,4
74,1DFr97A9HnbV3SKTJFu62M,Motörhead,God Was Never on Your Side,55,spotify:track:71LmwNWHchuDe1QwrEKsB1,5
75,1IQ2e1buppatiN1bxUVkrk,Slayer,Delusions of Saviour,71,spotify:track:06WUUNf7q18NZfjIsQFsfa,1
76,1IQ2e1buppatiN1bxUVkrk,Slayer,Raining Blood,66,spotify:track:4fiOTntQKr24p07FvQDHZE,2
77,1IQ2e1buppatiN1bxUVkrk,Slayer,Angel Of Death,62,spotify:track:5ohfpKB5tt275f4Y4lQ9F7,3
78,1IQ2e1buppatiN1bxUVkrk,Slayer,Repentless,61,spotify:track:6W2KBpMMXW17r7dPyqi8Iu,4
79,1IQ2e1buppatiN1bxUVkrk,Slayer,South Of Heaven,59,spotify:track:3U9gogDStAfWxSm91PJuxb,5
80,3RNrq3jvMZxD9ZyoOZbQOD,Korn,Freak On a Leash,77,spotify:track:6W21LNLz9Sw7sUSNWMSHRu,1
81,3RNrq3jvMZxD9ZyoOZbQOD,Korn,Coming Undone,74,spotify:track:3o7TMr6RmIusYH7Kkg7ujR,2
82,3RNrq3jvMZxD9ZyoOZbQOD,Korn,Falling Away from Me,72,spotify:track:2F6FfZ4w8z3eJpSxPotVO5,3
83,3RNrq3jvMZxD9ZyoOZbQOD,Korn,Y'all Want a Single,65,spotify:track:2WSWm0zlL3CJRACHS5KXbB,4
84,3RNrq3jvMZxD9ZyoOZbQOD,Korn,Got the Life,71,spotify:track:6nJPHXRpKYv2yqtalEjKy5,5
85,05fG473iIaoy82BF1aGhL8,Slipknot,Duality,80,spotify:track:61mWefnWQOLf90gepjOCb3,1
86,05fG473iIaoy82BF1aGhL8,Slipknot,Psychosocial,75,spotify:track:3RAFcUBrCNaboRXoP3S5t1,2
87,05fG473iIaoy82BF1aGhL8,Slipknot,Before I Forget,76,spotify:track:6wqJeItl3Vc3az4ZicSQAB,3
88,05fG473iIaoy82BF1aGhL8,Slipknot,Wait and Bleed,74,spotify:track:15DLl1r2zi07Ssq5RT1yT0,4
89,05fG473iIaoy82BF1aGhL8,Slipknot,Custer,53,spotify:track:2PV3xcnPI7QMayUpGB4Xkv,5
90,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Cum on Feel the Noize,67,spotify:track:3vV3cr2TpPqFk07zxYUbla,1
91,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Metal Health (Bang Your Head),58,spotify:track:28clONjZmul6FjfO6tZQDE,2
92,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Bang Your Head (Metal Health) - Single Version,47,spotify:track:7kFMBTOVe1fBGI5PefWyY5,3
93,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Mama Weer All Crazee Now,44,spotify:track:2bkpCVvOn2XZGhzA4fPyuZ,4
94,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,The Wild And The Young,41,spotify:track:6h0vHtXBWxIIuQ1pnRKCQu,5
95,4opTS86dN9uO313J9CE8xg,Skid Row,18 and Life,71,spotify:track:3620P9KJS2PDebJ9ABFitc,1
96,4opTS86dN9uO313J9CE8xg,Skid Row,I Remember You,67,spotify:track:1xqVri47rxr9oRpUgJa8rf,2
97,4opTS86dN9uO313J9CE8xg,Skid Row,Youth Gone Wild,65,spotify:track:37Vzad7uGm0I9zJIFXlT4b,3
98,4opTS86dN9uO313J9CE8xg,Skid Row,In a Darkened Room,60,spotify:track:05A9GC5OxmgvvRji2SCVzh,4
99,4opTS86dN9uO313J9CE8xg,Skid Row,Monkey Business,57,spotify:track:4bINqmqxF9EUNcRvA0TZqi,5
100,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Jump - 2015 Remaster,76,spotify:track:7N3PAbqfTjSEU1edb2tY8j,1
101,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Panama - 2015 Remaster,72,spotify:track:05RgAMGypEvqhNs5hPCbMS,2
102,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Ain't Talkin' 'Bout Love - 2015 Remaster,68,spotify:track:6fybp4N6eW3bsFAvARxyVe,3
103,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Runnin' with the Devil - 2015 Remaster,67,spotify:track:3KhF2YiNpJvGpfiCW45R6D,4
104,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,You Really Got Me - 2015 Remaster,67,spotify:track:0upLyFR8Rr52ZpMp5esQoq,5
105,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,Break Stuff,80,spotify:track:5cZqsjVs6MevCnAkasbEOX,1
106,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,Rollin' (Air Raid Vehicle),77,spotify:track:3IV4swNduIRunHREK80owz,2
