,artist_id,artist_name,track_name,track_popularity,track_uri,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
26,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,No More Tears,70,spotify:track:7w6PJe5KBPyvuRYxFkPssC,2,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86e-05,0.648,0.315,102.591,audio_features,7w6PJe5KBPyvuRYxFkPssC,spotify:track:7w6PJe5KBPyvuRYxFkPssC,https://api.spotify.com/v1/tracks/7w6PJe5KBPyvuRYxFkPssC,https://api.spotify.com/v1/audio-analysis/7w6PJe5KBPyvuRYxFkPssC,443240,4,4
27,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,"Mama, I'm Coming Home",64,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,3,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,audio_features,0S3gpZzlT9Hb7CCSV2owX7,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/tracks/0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/audio-analysis/0S3gpZzlT9Hb7CCSV2owX7,251867,4,2
28,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,I Don't Wanna Stop,64,spotify:track:5axOkQnmQmwtjr4bv1Xt7i,4,0.578,0.937,5,-3.926,1,0.0724,0.000963,2.25e-06,0.4,0.769,137.937,audio_features,5axOkQnmQmwtjr4bv1Xt7i,spotify:track:5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/tracks/5axOkQnmQmwtjr4bv1Xt7i,https://api.spotify.com/v1/audio-analysis/5axOkQnmQmwtjr4bv1Xt7i,239827,4,1
29,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,Bark at the Moon,62,spotify:track:2E7W1X4maFFcjHrVrFA7Vs,5,0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,audio_features,2E7W1X4maFFcjHrVrFA7Vs,spotify:track:2E7W1X4maFFcjHrVrFA7Vs,https://api.spotify.com/v1/tracks/2E7W1X4maFFcjHrVrFA7Vs,https://api.spotify.com/v1/audio-analysis/2E7W1X4maFFcjHrVrFA7Vs,257120,4,7
30,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Enter Sandman,79,spotify:track:5sICkBXVmaCQk5aISGR3x1,1,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4,6
31,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Nothing Else Matters,78,spotify:track:0nLiqZ6A27jJri2VCalIUs,2,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,audio_features,0nLiqZ6A27jJri2VCalIUs,spotify:track:0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/tracks/0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/audio-analysis/0nLiqZ6A27jJri2VCalIUs,388267,3,8
32,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Master Of Puppets,75,spotify:track:2MuWTIM3b0YEAskbeeFE1i,3,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,audio_features,2MuWTIM3b0YEAskbeeFE1i,spotify:track:2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/tracks/2MuWTIM3b0YEAskbeeFE1i,https://api.spotify.com/v1/audio-analysis/2MuWTIM3b0YEAskbeeFE1i,515387,4,6
33,2ye2Wgw4gimLv2eAKyk1NB,Metallica,For Whom The Bell Tolls - Remastered,69,spotify:track:3LpHzQU2CZzZJGdUWV79SI,4,0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,audio_features,3LpHzQU2CZzZJGdUWV79SI,spotify:track:3LpHzQU2CZzZJGdUWV79SI,https://api.spotify.com/v1/tracks/3LpHzQU2CZzZJGdUWV79SI,https://api.spotify.com/v1/audio-analysis/3LpHzQU2CZzZJGdUWV79SI,309973,4,0
34,2ye2Wgw4gimLv2eAKyk1NB,Metallica,One,72,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,5,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,audio_features,5IX4TbIR5mMHGE4wiWwKW0,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/tracks/5IX4TbIR5mMHGE4wiWwKW0,https://api.spotify.com/v1/audio-analysis/5IX4TbIR5mMHGE4wiWwKW0,447440,3,4
35,6mdiAmATAx73kdxrNrnlao,Iron Maiden,The Trooper - 2015 Remaster,71,spotify:track:4OROzZUy6gOWN4UGQVaZMF,1,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,audio_features,4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,252733,4,3
