track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Madhouse,Anthrax,3JysSUOyfVs1UQ0UaESheP,0.329,0.885,9,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,audio_features,76BYv24CcZt2u94JRjmATX,spotify:track:76BYv24CcZt2u94JRjmATX,https://api.spotify.com/v1/tracks/76BYv24CcZt2u94JRjmATX,https://api.spotify.com/v1/audio-analysis/76BYv24CcZt2u94JRjmATX,259760,4
Slave to the Grind,Skid Row,4opTS86dN9uO313J9CE8xg,0.487,0.976,7,-7.567,1,0.105,6.8e-06,0.352,0.242,0.305,133.176,audio_features,49IA4BhFCOWZQ7A7wxfa4e,spotify:track:49IA4BhFCOWZQ7A7wxfa4e,https://api.spotify.com/v1/tracks/49IA4BhFCOWZQ7A7wxfa4e,https://api.spotify.com/v1/audio-analysis/49IA4BhFCOWZQ7A7wxfa4e,208667,4
War Eternal,Arch Enemy,0DCw6lHkzh9t7f8Hb4Z0Sx,0.445,0.98,5,-4.369,0,0.0731,2.45e-05,0.163,0.129,0.285,155.045,audio_features,0WZZENH0kt3O2cBE8q5IRq,spotify:track:0WZZENH0kt3O2cBE8q5IRq,https://api.spotify.com/v1/tracks/0WZZENH0kt3O2cBE8q5IRq,https://api.spotify.com/v1/audio-analysis/0WZZENH0kt3O2cBE8q5IRq,256053,4
2 Minutes to Midnight - 1998 Remaster,Iron Maiden,6mdiAmATAx73kdxrNrnlao,0.459,0.953,4,-6.518,0,0.066,0.000275,0.000305,0.141,0.517,95.074,audio_features,6aYXSH9JZrD30Av2KlAOMY,spotify:track:6aYXSH9JZrD30Av2KlAOMY,https://api.spotify.com/v1/tracks/6aYXSH9JZrD30Av2KlAOMY,https://api.spotify.com/v1/audio-analysis/6aYXSH9JZrD30Av2KlAOMY,359760,4
Balls to the Wall,Accept,3JDIAtVrJdQ7GFOX26LYpv,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,audio_features,28sMmBCmfHoy6NjZnovEYG,spotify:track:28sMmBCmfHoy6NjZnovEYG,https://api.spotify.com/v1/tracks/28sMmBCmfHoy6NjZnovEYG,https://api.spotify.com/v1/audio-analysis/28sMmBCmfHoy6NjZnovEYG,342600,4
Raise Your Horns,Amon Amarth,3pulcT2wt7FEG10lQlqDJL,0.46,0.876,5,-5.39,1,0.045,6.85e-05,0.798,0.151,0.499,164.992,audio_features,5gNyrx8elXaXXs3vFC1ufZ,spotify:track:5gNyrx8elXaXXs3vFC1ufZ,https://api.spotify.com/v1/tracks/5gNyrx8elXaXXs3vFC1ufZ,https://api.spotify.com/v1/audio-analysis/5gNyrx8elXaXXs3vFC1ufZ,263787,3
"Snap Your Fingers, Snap Your Neck",Prong,6SER9tY2pDIDVWVf5Ql97B,0.668,0.788,5,-6.752,1,0.0424,7.48e-05,0.108,0.0792,0.692,137.38,audio_features,7hgtn706RqLE5q1mWe8aQx,spotify:track:7hgtn706RqLE5q1mWe8aQx,https://api.spotify.com/v1/tracks/7hgtn706RqLE5q1mWe8aQx,https://api.spotify.com/v1/audio-analysis/7hgtn706RqLE5q1mWe8aQx,251533,4
Only for the Weak,In Flames,57ylwQTnFnIhJh4nu4rxCs,0.458,0.909,0,-4.414,0,0.0446,2.32e-06,0.758,0.283,0.49,105.007,audio_features,03zYFtluA21jFWQVPMbUYO,spotify:track:03zYFtluA21jFWQVPMbUYO,https://api.spotify.com/v1/tracks/03zYFtluA21jFWQVPMbUYO,https://api.spotify.com/v1/audio-analysis/03zYFtluA21jFWQVPMbUYO,295227,4
Stranded,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,0.513,0.88,7,-4.69,0,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,audio_features,60fUDmIWuKhngaeBIVhqIV,spotify:track:60fUDmIWuKhngaeBIVhqIV,https://api.spotify.com/v1/tracks/60fUDmIWuKhngaeBIVhqIV,https://api.spotify.com/v1/audio-analysis/60fUDmIWuKhngaeBIVhqIV,269533,4
My Own Summer (Shove It),Deftones,6Ghvu1VvMGScGpOUJBAHNH,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,audio_features,1158ckiB5S4cpsdYHDB9IF,spotify:track:1158ckiB5S4cpsdYHDB9IF,https://api.spotify.com/v1/tracks/1158ckiB5S4cpsdYHDB9IF,https://api.spotify.com/v1/audio-analysis/1158ckiB5S4cpsdYHDB9IF,214760,4
