track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alma Mater,Moonspell,17bYSQ9ZRnreVnJjE5X2x6,0.235,0.867,9,-6.408,0,0.0647,0.000133,0.000938,0.0758,0.305,142.939,audio_features,6aY8pSRwrJ9IjPAzr0dd0S,spotify:track:6aY8pSRwrJ9IjPAzr0dd0S,https://api.spotify.com/v1/tracks/6aY8pSRwrJ9IjPAzr0dd0S,https://api.spotify.com/v1/audio-analysis/6aY8pSRwrJ9IjPAzr0dd0S,337307,3
Punishment,Biohazard,3nhxXtHwC2TookQyqQlFK1,0.298,0.983,6,-6.566,0,0.464,0.00128,5.63e-05,0.78,0.106,89.629,audio_features,3eI2C0gohXlg4AsavdYSiz,spotify:track:3eI2C0gohXlg4AsavdYSiz,https://api.spotify.com/v1/tracks/3eI2C0gohXlg4AsavdYSiz,https://api.spotify.com/v1/audio-analysis/3eI2C0gohXlg4AsavdYSiz,284067,4
In Waves,Trivium,278ZYwGhdK6QTzE3MFePnP,0.477,0.94,9,-3.435,1,0.103,0.000211,0.0518,0.346,0.338,76.517,audio_features,4B5hrpQjHTLfGMcTgpatUs,spotify:track:4B5hrpQjHTLfGMcTgpatUs,https://api.spotify.com/v1/tracks/4B5hrpQjHTLfGMcTgpatUs,https://api.spotify.com/v1/audio-analysis/4B5hrpQjHTLfGMcTgpatUs,302467,4
Satan Is Real,Kreator,3BM0EaYmkKWuPmmHFUTQHv,0.43,0.96,7,-4.32,1,0.0778,5.64e-05,0.0909,0.126,0.252,101.608,audio_features,14M68PdZSSMRzTBuJNuxO6,spotify:track:14M68PdZSSMRzTBuJNuxO6,https://api.spotify.com/v1/tracks/14M68PdZSSMRzTBuJNuxO6,https://api.spotify.com/v1/audio-analysis/14M68PdZSSMRzTBuJNuxO6,278200,4
K.I.N.G,Satyricon,221Rd0FvVxMx7eCbWqjiKd,0.535,0.959,11,-6.631,1,0.0483,9.45e-06,0.546,0.0518,0.441,129.769,audio_features,0M82wZjP8IGboFGIOiw1ah,spotify:track:0M82wZjP8IGboFGIOiw1ah,https://api.spotify.com/v1/tracks/0M82wZjP8IGboFGIOiw1ah,https://api.spotify.com/v1/audio-analysis/0M82wZjP8IGboFGIOiw1ah,216347,4
Bleed,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,0.242,0.998,11,-5.64,1,0.0894,8.12e-06,0.88,0.284,0.18,114.642,audio_features,4E6wpXABj8XosZEPXZz2OK,spotify:track:4E6wpXABj8XosZEPXZz2OK,https://api.spotify.com/v1/tracks/4E6wpXABj8XosZEPXZz2OK,https://api.spotify.com/v1/audio-analysis/4E6wpXABj8XosZEPXZz2OK,442733,4
Heaven's a Lie,Lacuna Coil,4OAddazJM576euUnFSvXSL,0.426,0.881,4,-3.458,0,0.0403,0.0011,0.00279,0.124,0.384,140.004,audio_features,0I7y3aEavUHgkt4aCreBDa,spotify:track:0I7y3aEavUHgkt4aCreBDa,https://api.spotify.com/v1/tracks/0I7y3aEavUHgkt4aCreBDa,https://api.spotify.com/v1/audio-analysis/0I7y3aEavUHgkt4aCreBDa,286533,4
Detox,Strapping Young Lad,457qPvtiBTIl6LR4dZiKZy,0.117,0.983,2,-5.728,1,0.2,2.91e-06,0.0627,0.36,0.102,164.227,audio_features,5UCZhWiEj8q5jid3zu8JKw,spotify:track:5UCZhWiEj8q5jid3zu8JKw,https://api.spotify.com/v1/tracks/5UCZhWiEj8q5jid3zu8JKw,https://api.spotify.com/v1/audio-analysis/5UCZhWiEj8q5jid3zu8JKw,337000,4
The Drapery Falls,Opeth,0ybFZ2Ab08V8hueghSXm6E,0.105,0.862,7,-6.09,1,0.0795,0.000343,0.192,0.0813,0.272,184.251,audio_features,2P255nGNuxA0sYbza2JrX9,spotify:track:2P255nGNuxA0sYbza2JrX9,https://api.spotify.com/v1/tracks/2P255nGNuxA0sYbza2JrX9,https://api.spotify.com/v1/audio-analysis/2P255nGNuxA0sYbza2JrX9,653867,3
I Will Be Heard,Hatebreed,17Mb968quDHpjCkIyq30QV,0.585,0.907,1,-4.787,1,0.102,7.21e-05,0.0,0.0682,0.573,92.634,audio_features,4Lxn1JlGJwmmXpODrNvPA6,spotify:track:4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/tracks/4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/audio-analysis/4Lxn1JlGJwmmXpODrNvPA6,178667,4
